fundsymbol,pricedate,openvalue,highvalue,lowvalue,closevalue,adjclose,volume
AAA,2021-01-04,25.07,25.07,25.07,25.07,24.93,3700
AAA,2021-01-05,25.08,25.08,25.07,25.08,24.94,2300
AAA,2021-01-06,25.08,25.09,25.08,25.08,24.94,600
AAA,2021-01-07,25.08,25.08,25.08,25.08,24.94,400
AAA,2021-01-08,25.08,25.08,25.07,25.07,24.93,5300
AAA,2021-01-11,25.07,25.1,25.07,25.08,24.95,2000
AAA,2021-01-12,25.11,25.11,25.1,25.1,24.96,800
AAA,2021-01-13,25.09,25.09,25.09,25.09,24.95,100
AAA,2021-01-14,25.1,25.1,25.1,25.1,24.97,200
AAA,2021-01-15,25.14,25.14,25.12,25.12,24.98,2400
AAA,2021-01-19,25.16,25.16,25.15,25.15,25.01,2800
AAA,2021-01-20,25.15,25.15,25.15,25.15,25.01,100
AAA,2021-01-21,25.15,25.15,25.14,25.15,25.01,3600
AAA,2021-01-22,25.16,25.17,25.16,25.16,25.02,1600
AAA,2021-01-25,25.16,25.16,25.16,25.16,25.01,100
AAA,2021-01-26,25.16,25.17,25.16,25.17,25.02,500
AAA,2021-01-27,25.14,25.15,25.14,25.15,25.01,500
AAA,2021-01-28,25.15,25.15,25.15,25.15,25.01,200
AAA,2021-01-29,25.16,25.16,25.15,25.15,25.0,3100
AAA,2021-02-01,25.14,25.14,25.13,25.13,25.01,1300
AAA,2021-02-02,25.13,25.13,25.13,25.13,25.01,1700
AAA,2021-02-03,25.2,25.4,25.12,25.12,25.0,1200
AAA,2021-02-04,24.84,25.15,24.84,25.13,25.01,10200
AAA,2021-02-05,25.14,25.14,25.14,25.14,25.02,1800
AAA,2021-02-08,25.15,25.15,25.14,25.14,25.02,2600
AAA,2021-02-09,25.13,25.13,25.13,25.13,25.01,1000
AAA,2021-02-10,25.12,25.14,25.12,25.14,25.02,700
AAA,2021-02-11,25.14,25.14,25.13,25.13,25.01,1300
AAA,2021-02-12,25.13,25.13,25.12,25.12,25.0,500
AAA,2021-02-16,25.13,25.13,25.12,25.12,25.0,300
AAA,2021-02-17,25.14,25.14,25.13,25.13,25.01,400
AAA,2021-02-18,25.14,25.14,25.13,25.13,25.01,200
AAA,2021-02-19,25.13,25.13,25.13,25.13,25.01,100
AAA,2021-02-22,25.09,25.09,25.09,25.09,24.97,600
AAA,2021-02-23,25.06,25.08,25.06,25.07,24.95,500
AAA,2021-02-24,25.08,25.08,25.07,25.07,24.95,1600
AAA,2021-02-25,25.07,25.08,25.07,25.08,24.96,400
AAA,2021-02-26,25.07,25.07,25.06,25.07,24.95,1000
AAA,2021-03-01,25.05,25.05,25.04,25.05,24.95,800
AAA,2021-03-02,25.06,25.06,25.06,25.06,24.96,200
AAA,2021-03-03,25.07,25.07,25.07,25.07,24.97,300
AAA,2021-03-04,25.09,25.09,25.08,25.08,24.99,600
AAA,2021-03-05,25.1,25.1,25.08,25.09,24.99,3700
AAA,2021-03-08,25.1,25.1,25.07,25.07,24.97,13000
AAA,2021-03-09,25.06,25.07,25.05,25.07,24.97,12500
